timestamp,elapsed_sec,pkg_temp_c,fan_rpm
12:33:44,0,43,1700
12:33:54,10,42,1600
12:34:04,20,42,1600
12:34:14,30,42,1600
12:34:24,40,41,1600
12:34:34,50,41,1600
12:34:44,60,41,1600
12:34:54,70,41,1600
12:35:04,80,41,1600
12:35:14,90,41,1600
12:35:24,100,41,1600
12:35:34,110,41,1600
12:35:44,120,41,1600
12:35:54,130,41,1600
12:36:04,140,41,1600
12:36:14,150,41,1600
12:36:24,160,41,1600
12:36:34,170,41,1600
12:36:44,180,41,1600
12:36:54,190,41,1600
12:37:04,200,41,1600
12:37:14,210,41,1600
12:37:24,220,41,1600
12:37:34,230,41,1600
12:37:44,240,41,1600
12:37:54,250,41,1600
12:38:04,260,41,1600
12:38:14,270,41,1600
12:38:24,280,41,1600
12:38:34,290,41,1600
12:38:44,300,41,1600
12:38:55,310,41,1600
12:39:05,321,41,1600
12:39:15,331,41,1600
12:39:25,341,41,1600
12:39:35,351,41,1600
12:39:45,361,41,1600
12:39:55,371,41,1600
12:40:05,381,41,1600
12:40:15,391,41,1600
12:40:25,401,41,1600
12:40:35,411,41,1600
12:40:45,421,41,1600
12:40:55,431,41,1600
12:41:05,441,41,1600
12:41:15,451,41,1600
12:41:25,461,41,1600
12:41:35,471,41,1600
12:41:45,481,41,1600
12:41:55,491,41,1600
12:42:05,501,41,1600
12:42:15,511,41,1600
12:42:25,521,41,1600
12:42:35,531,41,1600
12:42:45,541,41,1600
12:42:55,551,41,1600
12:43:05,561,41,1600
12:43:15,571,41,1600
12:43:25,581,41,1600
12:43:35,591,41,1600
