timestamp,elapsed_sec,pkg_temp_c,fan_rpm
12:48:08,0,48,1600
12:48:18,10,45,1600
12:48:28,20,44,1600
12:48:38,30,44,1600
12:48:48,40,44,1600
12:48:58,50,44,1600
12:49:08,60,43,1600
12:49:18,70,43,1600
12:49:28,80,43,1600
12:49:38,90,43,1600
12:49:48,100,43,1600
12:49:58,110,43,1600
12:50:08,120,43,1600
12:50:18,130,43,1600
12:50:28,140,43,1600
12:50:38,150,43,1600
12:50:48,160,43,1600
12:50:58,170,42,1600
12:51:08,180,42,1600
12:51:19,190,42,1600
12:51:29,201,42,1600
12:51:39,211,42,1600
12:51:49,221,42,1600
12:51:59,231,42,1600
12:52:09,241,42,1600
12:52:19,251,42,1600
12:52:29,261,42,1600
12:52:39,271,42,1600
12:52:49,281,42,1600
12:52:59,291,42,1600
12:53:09,301,42,1600
12:53:19,311,42,1600
12:53:29,321,42,1600
12:53:39,331,42,1600
12:53:49,341,42,1600
12:53:59,351,42,1600
12:54:09,361,42,1600
12:54:19,371,42,1600
12:54:29,381,42,1600
12:54:39,391,42,1600
12:54:49,401,42,1600
12:54:59,411,41,1600
12:55:09,421,41,1600
12:55:19,431,42,1600
12:55:29,441,41,1600
12:55:39,451,41,1600
12:55:49,461,41,1600
12:55:59,471,41,1600
12:56:09,481,41,1600
12:56:19,491,41,1600
12:56:30,501,41,1600
12:56:40,512,41,1600
12:56:50,522,41,1600
12:57:00,532,41,1600
12:57:10,542,41,1600
12:57:20,552,41,1600
12:57:30,562,41,1600
12:57:40,572,41,1600
12:57:50,582,41,1600
12:58:00,592,41,1600
