timestamp,elapsed_sec,pkg_temp_c,fan_rpm
13:38:27,0,41,1600
13:38:37,10,42,1600
13:38:47,20,43,1600
13:38:57,30,42,1600
13:39:07,40,43,1600
13:39:17,50,43,1600
13:39:27,60,43,1600
13:39:37,70,43,1600
13:39:47,80,43,1600
13:39:57,90,43,1600
13:40:07,100,43,1600
13:40:17,110,43,1600
13:40:27,120,43,1600
13:40:37,130,43,1600
13:40:48,140,43,1600
13:40:58,151,43,1600
13:41:08,161,44,1600
13:41:18,171,44,1600
13:41:28,181,44,1600
13:41:38,191,44,1600
13:41:48,201,44,1600
13:41:58,211,44,1600
13:42:08,221,44,1600
13:42:18,231,44,1600
13:42:28,241,44,1600
13:42:38,251,44,1600
13:42:48,261,44,1600
13:42:58,271,44,1600
13:43:08,281,44,1600
13:43:18,291,44,1600
13:43:28,301,44,1600
13:43:38,311,44,1600
13:43:48,321,44,1600
13:43:58,331,44,1600
13:44:08,341,44,1600
13:44:18,351,44,1600
13:44:28,361,44,1600
13:44:38,371,45,1600
13:44:48,381,44,1600
13:44:58,391,44,1600
13:45:08,401,44,1600
13:45:18,411,45,1600
13:45:28,421,45,1600
13:45:38,431,44,1600
13:45:48,441,45,1600
13:45:58,451,44,1600
13:46:08,461,45,1600
13:46:18,471,45,1600
13:46:29,481,45,1600
13:46:39,492,45,1600
13:46:49,502,45,1600
13:46:59,512,45,1600
13:47:09,522,45,1600
13:47:19,532,45,1600
13:47:29,542,45,1600
13:47:39,552,45,1600
13:47:49,562,45,1600
13:47:59,572,45,1600
13:48:09,582,45,1600
13:48:19,592,45,1600
13:48:29,602,45,1600
13:48:39,612,45,1600
13:48:49,622,45,1600
13:48:59,632,45,1600
13:49:09,642,45,1600
13:49:19,652,45,1600
13:49:29,662,45,1600
13:49:39,672,45,1600
13:49:49,682,45,1600
13:49:59,692,45,1600
13:50:09,702,45,1600
13:50:19,712,45,1600
13:50:29,722,45,1600
13:50:39,732,45,1600
13:50:49,742,45,1600
13:50:59,752,45,1600
13:51:09,762,45,1600
13:51:20,772,45,1600
13:51:30,783,45,1600
13:51:40,793,45,1600
13:51:50,803,45,1600
13:52:00,813,45,1600
13:52:10,823,45,1600
13:52:20,833,45,1600
13:52:30,843,45,1600
13:52:40,853,45,1600
13:52:50,863,45,1600
13:53:00,873,45,1600
13:53:10,883,45,1600
13:53:20,893,45,1600
13:53:30,903,45,1600
13:53:40,913,45,1600
13:53:50,923,45,1600
13:54:00,933,45,1600
13:54:10,943,45,1600
13:54:20,953,45,1600
13:54:30,963,45,1600
13:54:40,973,45,1600
13:54:50,983,45,1600
13:55:00,993,45,1600
13:55:10,1003,45,1600
13:55:20,1013,45,1600
13:55:30,1023,45,1600
13:55:40,1033,45,1600
13:55:50,1043,45,1600
13:56:00,1053,45,1600
13:56:10,1063,45,1600
13:56:20,1073,45,1600
13:56:30,1083,45,1600
13:56:40,1093,45,1600
13:56:50,1103,45,1600
13:57:00,1113,45,1600
13:57:10,1123,45,1600
13:57:20,1133,45,1600
13:57:30,1143,45,1600
13:57:41,1153,45,1600
13:57:51,1164,45,1600
13:58:01,1174,45,1600
13:58:11,1184,45,1600
13:58:21,1194,45,1600
13:58:31,1204,45,1600
13:58:41,1214,45,1600
13:58:51,1224,45,1600
13:59:01,1234,45,1600
13:59:11,1244,45,1600
13:59:21,1254,45,1600
13:59:31,1264,45,1600
13:59:41,1274,45,1600
13:59:51,1284,45,1600
14:00:01,1294,45,1600
14:00:11,1304,45,1600
14:00:21,1314,45,1600
14:00:31,1324,45,1600
14:00:41,1334,45,1600
14:00:51,1344,45,1600
14:01:01,1354,45,1600
14:01:11,1364,45,1600
14:01:21,1374,45,1600
14:01:31,1384,45,1600
14:01:41,1394,45,1600
14:01:51,1404,45,1600
14:02:01,1414,45,1600
14:02:11,1424,45,1600
14:02:21,1434,45,1600
14:02:31,1444,45,1600
14:02:41,1454,45,1600
14:02:51,1464,45,1600
14:03:01,1474,45,1600
14:03:11,1484,45,1600
14:03:22,1494,45,1600
14:03:32,1505,45,1600
14:03:42,1515,45,1600
14:03:52,1525,45,1600
14:04:02,1535,45,1600
14:04:12,1545,45,1600
14:04:22,1555,45,1600
14:04:32,1565,45,1600
14:04:42,1575,45,1600
14:04:52,1585,45,1600
14:05:02,1595,45,1600
14:05:12,1605,45,1600
14:05:22,1615,45,1600
14:05:32,1625,45,1600
14:05:42,1635,45,1600
14:05:52,1645,45,1600
14:06:02,1655,45,1600
14:06:12,1665,45,1600
14:06:22,1675,45,1600
14:06:32,1685,45,1600
14:06:42,1695,45,1600
14:06:52,1705,45,1600
14:07:02,1715,45,1600
14:07:12,1725,45,1600
14:07:22,1735,45,1600
14:07:32,1745,45,1600
14:07:42,1755,45,1600
14:07:52,1765,45,1600
14:08:02,1775,45,1600
14:08:12,1785,45,1600
14:08:22,1795,45,1600
14:08:32,1805,45,1600
